,Item,Brand,Usage,Gender,Model,Size,Sale_Until,Prize
25220,Shoes,Harriton,Almost New,Men,Harriton Sebastiano Brugnaro,39,0,10.828480096865892
6418,Shoes,Carnival,Almost New,Women,Carnival Serena Guariento-Nibali,43,0,34.34799997135997
4867,Shoes,Fox,Used,Men,Fox Greco Valguarnera,40,0,26.63100003171712
4613,Shoes,Comfort Colors,Very Used,Women,Comfort Romina Boezio,44,0,17.07602428740097
23483,Shoes,O'Neill,Almost New,Men,O'Neill Dott. Benito Bertoli,45,0,32.004000082612045
4747,Shoes,Ed Hardy,Used,Women,Ed Umberto Barbarigo,40,0,25.116300036991017
4665,Shoes,DC,Used,Women,DC Silvia Morgagni-Bacosi,43,0,14.950649746681007
25970,Shoes,Puma,Almost New,Men,VOLCOM Dott. Cecilia Maglio,44,0,15.242417334848533
12143,Shoes,Mountain Hardwear,Almost New,Men,Mountain Corrado Torlonia-Interminei,37,0,82.3900002380833
14292,Shoes,Bali,New,Women,Bali Silvio Boiardo,42,0,24.570000004023314
23567,Shoes,O'Neill,Very Used,Men,Oneill Valeria Cuda,37,0,33.61095010293647
12147,Shoes,Mountain Hardwear,Used,Men,Mountain Lina Martinelli-Franceschi,40,0,56.238906329123225
4646,Shoes,DC,Almost New,Men,DC Pellegrino Trapanese,45,0,29.74125003442169
4668,Shoes,DC,Almost New,Men,DC Leonardo Bersani-Borrani,39,0,22.391523866596952
2743,Shoes,adidas,Very Used,Men,adidas Arnaldo Zamorani,39,0,8.624000020325184
15881,Shoes,Lucky Brand,New,Women,Lucky Adelmo Spanevello,40,0,31.707647760365955
12167,Shoes,Nautica,New,Men,Nautica Sig. Fiorino Cafarchia,41,0,34.20090000852942
6776,Shoes,Frederick's of Hollywood,Almost New,Women,Frederick's Patrizio Persico,42,0,13.3531999591738
4630,Shoes,DC,Very Used,Men,DC Arturo Viola,40,0,31.476753911263618
4629,Shoes,Crooks and Castles,Very Used,Men,Crooks Annibale Giannetti,38,0,33.46560001373291
15894,Shoes,Maison Scotch,Almost New,Women,Maison Ivan Ortese,37,0,11.857500015757978
21886,Shoes,Wool Overs,Used,Men,Mens Licia Martucci,38,0,14.601499981526286
492,Shoes,Harley-Davidson,New,Men,Harley Amleto Callegari,38,0,4.823909934833795
413,Shoes,Fennco,New,Women,Fennco Dott. Nina Pavarotti,39,0,7.7712658699289126
26908,Shoes,Lucky Brand,New,Men,Lucky Dott. Donna Pertini,44,0,11.655000003520401
466,Shoes,Gucci,Used,Women,Gucci Mario Gilardoni,38,0,75.26074288546121
15780,Shoes,Kenneth Cole New York,Almost New,Men,Kenneth Simone Gonzaga,45,0,16.8797797267153
1731,Shoes,Champion,Very Used,Women,Champion Angelica Comolli,38,0,20.05980848803631
1730,Shoes,Champion,Very Used,Women,Champion Cirillo Gabbana,38,0,20.05980848803631
17643,Shoes,Hatley,Almost New,Women,Hatley Dolores Morabito,44,0,19.84337303641342
10298,Shoes,Stella Elyse,Used,Women,Paint Simone Manolesso,41,0,13.537043898945809
26937,Shoes,Gregg Homme,Used,Men,Mens Arsenio Bonanno,43,0,10.492099860669672
4706,Shoes,District Threads,Used,Men,District Martino Fogazzaro,44,0,16.914581800545033
25955,Shoes,UltraClub,New,Men,UltraClub Gianfranco Comboni-Chiesa,40,0,20.88898246087136
14387,Shoes,Columbia,New,Women,Columbia Adele Lombroso,45,0,45.08462495356798
10266,Shoes,SK Hat shop,New,Women,Luxurious Sig. Pierpaolo Navarria,43,0,5.71328989288196
15808,Shoes,FineBrandShop,New,Women,Ladies Ermenegildo Brugnaro,40,0,7.688519837720991
10265,Shoes,SK Hat shop,Used,Women,Luxurious Ciro Paolini,43,0,6.6655048750289545
21968,Shoes,The Little Alpaca's House,New,Men,NEW Imelda Gregorio,42,0,18.66051087792009
10253,Shoes,LeggingsQueen,Almost New,Women,LeggingsQueen Agnolo Piovani,38,0,12.754440389345437
10235,Shoes,LeggingsQueen,New,Women,LeggingsQueen Roman Ferrata-Galuppi,45,0,13.095370504264462
14342,Shoes,Carhartt,New,Women,Carhartt Cassandra Bombieri-Camiscione,39,0,6.613200000626967
10276,Shoes,HUE,Used,Women,Microsuede Telemaco Barozzi,40,0,21.130200013518333
4287,Shoes,Adidas,Almost New,Women,Allegra Gioachino Chinnici,40,0,8.329676101418004
23859,Shoes,Rusty,Almost New,Men,Rusty Mirco Satriani,42,0,23.078250518331306
4280,Shoes,Adidas,Very Used,Women,Allegra Filippa Gualandi,41,0,10.7940328817729
24194,Shoes,Toes on the Nose,New,Men,Toes Antonella Veltroni,39,0,39.73200010461732
1256,Shoes,The North Face,New,Men,The Gianluigi Marcacci,41,0,12.594690222766845
13367,Shoes,Orvis,Used,Men,Microfiber Virginia Priuli,43,0,41.06199997663498
12935,Shoes,Dockers,Very Used,Men,Dockers Dott. Gioffre Ponti,43,0,20.800839746531167
13357,Shoes,Giorgio Cerruti,Almost New,Men,Men's Flora Cadorna-Treccani,44,0,11.132415351063612
24213,Shoes,Trina Turk,Very Used,Women,Trina Matteo Treccani,39,0,55.8108002318535
24214,Shoes,Cover Me,Used,Women,Tropics Pomponio Tuzzolino,42,0,8.937600077688693
13389,Shoes,North River,Very Used,Men,North Sig.ra Vanessa Tosi,44,0,8.671661914651573
8804,Shoes,Key Industries,New,Men,Key Simonetta Cantimori,41,0,12.862500005867336
8218,Shoes,Buffalo by David Bitton,Very Used,Men,Buffalo Lilla Milanesi,43,0,65.07404992364464
16619,Shoes,Ecko Unltd.,Used,Men,ecko Dott. Giancarlo Interminei,43,0,19.80846871501556
24465,Shoes,Alternative,New,Men,Alternative Bianca Bellocchio-Bembo,45,0,13.00319995880127
12962,Shoes,Dockers,Almost New,Men,Dockers Cassandra Calarco,41,0,41.63850013632327
20332,Shoes,Adidas,Very Used,Men,Allegra Sig.ra Priscilla Antonacci,37,0,5.91108009030491
3793,Shoes,Jones New York,New,Women,Jones Leonardo Foconi,44,0,57.39479991607367
3503,Shoes,Adidas,Very Used,Women,Allegra Carolina Cutuli,44,0,5.331836937290162
20326,Shoes,Adidas,Used,Men,Allegra Costantino Morucci,39,0,4.249080126431288
8756,Shoes,Joe's Jeans,Used,Women,Joe's Damiano Mazzeo-Corbo,40,0,59.17190453261947
3864,Shoes,Lindy Bop,Used,Women,Lindy Maura Puccini,42,0,21.018627651208963
3445,Shoes,Adidas,New,Women,Allegra Melania Tomasini,42,0,4.301369902211354
20939,Shoes,King Formal Wear,Used,Men,Stylish Olga Lombardo,44,0,29.028370170409325
20927,Shoes,Scotch & Soda,New,Men,Scotch Domenico Mussolini,40,0,103.78749975934626
26499,Shoes,Dockers,Very Used,Men,Dockers Simone Rossi,39,0,12.826800037175419
16510,Shoes,Puma,Almost New,Men,Volcom Gaspare Piacentini,45,0,20.938500037416816
13442,Shoes,Perry Ellis,Almost New,Men,Perry Dante Cusano,39,0,6.271200017072259
8035,Shoes,7 For All Mankind,Used,Men,7 Barbara Scaduto-Liverotti,37,0,57.2984999162145
24143,Shoes,TRUNKS,New,Men,TRUNKS Ciro Giannotti,42,0,22.664835086344173
13393,Shoes,Oak Hill,Very Used,Men,Oak Martina Borromeo,37,0,22.67546479085094
3890,Shoes,Hot from Hollywood,Used,Women,Long Graziella Modiano,37,0,18.002355803350437
8867,Shoes,Lee,Almost New,Men,Lee Luigi Virgilio,39,0,19.115999977570027
20844,Shoes,Paul Malone,Very Used,Men,Paul Pier Segrè-Trapanese,41,0,16.29558046000421
13415,Shoes,Paul Fredrick,Very Used,Men,Paul Gianluca Prodi-Bernardi,42,0,41.551200097077526
26278,Shoes,C-IN2,Almost New,Men,C-IN2 Roberta Grasso,40,0,18.02500008605421
8108,Shoes,AG Adriano Goldschmied,Almost New,Men,AG Giancarlo Bertolucci,42,0,111.06899982411416
24508,Shoes,Anne Klein,Very Used,Women,Anne Dolores Tuzzolino,43,0,33.47192038981237
24506,Shoes,Anne Klein,Very Used,Women,Anne Pasqual Grimani,42,0,34.98109993133695
3884,Shoes,London Times,Very Used,Women,London Luca Opizzi,38,0,36.4526410578905
3933,Shoes,NoeMie,New,Women,NoeMie Milena Sabbatini-Agazzi,43,0,30.92858008040437
13273,Shoes,L1,Used,Men,L1 Dott. Tatiana Bernini,44,0,75.72122122208752
20360,Shoes,Austin Reed,Very Used,Men,Austin Sig.ra Loretta Malipiero,40,0,55.49833466253053
20612,Shoes,Joseph Abboud,Very Used,Men,Joseph Piermaria Lombardo,41,0,11.060631572103262
8623,Shoes,HUE,Almost New,Women,HUE Ugo Filogamo,43,0,19.811999905854464
26387,Shoes,Calvin Klein,Used,Men,Calvin Sig. Dionigi Piovani,41,0,9.115200005471706
1108,Shoes,Ray-Ban,Used,Women,Ray-Ban Dott. Sandro Donà,37,0,67.64441610828767
8618,Shoes,Greystone,Almost New,Men,Greystone Stella Ferrari,41,0,40.340158113596374
20593,Shoes,Jack Spade,Used,Men,Jack Stella Serao,37,0,77.20808255082552
24318,Shoes,Parke & Ronen,Almost New,Men,parke Gianpietro Varano,43,0,34.62750013126061
1090,Shoes,Ray-Ban,Very Used,Men,Ray-Ban Benito Lanfranchi,38,0,33.46874991199002
20574,Shoes,Haggar,Very Used,Men,Haggar Amanda Briccialdi,37,0,48.53176834017541
24372,Shoes,adidas,Used,Men,Adidas Rosario Chigi,41,0,64.88484850558788
13147,Shoes,Haggar,New,Men,Haggar Beppe Spallanzani,40,0,13.494749927520754
24346,Shoes,Next Level,Used,Men,6010 Isabella Semitecolo,45,0,13.01233984081991
8494,Shoes,Earnest Sewn,New,Men,EARNEST Simonetta Salgari,41,0,70.30462489393537
8529,Shoes,Fourstar,New,Men,Fourstar Viridiana Romiti,40,0,26.26260003335775
13131,Shoes,Haggar,New,Men,Haggar Eliana Gagliardi,38,0,9.720000000670552
8523,Shoes,Funfash,Used,Women,FUNFASH Nico Ostinelli,40,0,17.318301321346024
26339,Shoes,Calvin Klein,New,Men,Calvin Diana Russo,37,0,27.329600066505368
13269,Shoes,Kings' Court,Very Used,Men,Kings' Dott. Venancio Saracino,44,0,27.148741547591392
24402,Shoes,Adidas,Used,Women,Allegra Pierina Paganini,38,0,5.734260080342889
8373,Shoes,DC,Very Used,Men,DC Giulio Cimarosa,41,0,37.96199997961522
20361,Shoes,Austin Reed,New,Men,Austin Valerio Liguori,39,0,78.5028859285877
20375,Shoes,Ben Sherman,Almost New,Men,Ben Fabia Folliero,45,0,120.94999949447812
8717,Shoes,Joe's Jeans,Almost New,Men,Joe's Fulvio Nolcini,40,0,77.65019982475788
20697,Shoes,Abini,Very Used,Men,Men's Dott. Renzo Bianchini,44,0,29.357638799514664
3540,Shoes,Anna-Kaci,Almost New,Women,Anna-Kaci Oreste Spanevello,45,0,12.107654830364584
3760,Shoes,Jessica Howard,Used,Women,Jessica Roman Manacorda,37,0,44.3479670555142
26311,Shoes,Calvin Klein,New,Men,Calvin Alessia Argento-Greggio,44,0,11.996600034087898
8631,Shoes,Hudson,Very Used,Men,Hudson Laureano Ferrara-Zecchini,45,0,74.75407477144618
8297,Shoes,Carhartt,Almost New,Men,Carhartt Antonino Villarosa,44,0,31.737696358348167
8306,Shoes,Carhartt,Used,Men,Carhartt Giorgia Sinisi,40,0,28.87191001637668
8659,Shoes,Hudson,Almost New,Women,Hudson Simonetta Camicione,37,0,108.50399989821015
3556,Shoes,Anne Klein,Almost New,Women,Anne Lauretta Biagi,40,0,31.80240864605977
16698,Shoes,Baby'O Clothing Co.,Almost New,Women,BABY'O Cecilia Tremonti,40,0,11.096299890735
3728,Shoes,Gabby Skye,Almost New,Women,Gabby Rita Matteotti-Merisi,37,0,28.9170012858063
1076,Shoes,Ray-Ban,Used,Men,Ray-Ban Fedele Sagnelli,38,0,39.394990510775344
8640,Shoes,Hudson,Used,Women,Hudson Lucio Ferretti,42,0,96.29799984931014
8300,Shoes,Carhartt,Very Used,Men,Carhartt Tatiana Volterra,37,0,26.565786480252942
13471,Shoes,Propper,New,Men,Propper Dott. Giacomo Abatantuono,44,0,23.154967770796343
12879,Shoes,Dockers,Very Used,Men,Dockers Dott. Saverio Volta,37,0,25.79850008804351
20959,Shoes,Tasso Elba,Used,Men,Tasso Dott. Alessandra Gentileschi,38,0,35.27647107804612
7508,Shoes,Playtex,New,Women,Playtex Graziano Bruscantini,43,0,17.954999950714416
13784,Shoes,DreamSacks,Almost New,Women,Bamboo Laureano Alighieri,44,0,44.41499995272607
7526,Shoes,Popsi Lingerie,Very Used,Women,Popsi Morena Busoni-Chechi,38,0,11.745503882791757
7575,Shoes,Rene Rofe,Used,Women,Rene Vito Ferrante,42,0,6.685302045689107
7576,Shoes,Rene Rofe,Very Used,Women,Rene Sig. Riccardo Giannone,40,0,8.936880282013567
13765,Shoes,Anne Klein,Used,Women,Anne Luciano Berrè,37,0,20.681703558988993
13737,Shoes,Adidas,New,Women,Allegra Matilda Carli,44,0,7.205445032144263
17194,Shoes,Calvin Klein,Very Used,Women,Calvin Liana Zola,42,0,21.052237552934095
7585,Shoes,Sassybax,Very Used,Women,SASSYBAX Claudio Bernardi-Cavalcanti,40,0,31.988399993162606
17146,Shoes,Briefly Stated,Used,Men,Briefly Sig. Armando Bergoglio,38,0,4.897232898688138
26582,Shoes,Emporio Armani,New,Men,Emporio Arturo Cerutti-Iannuzzi,43,0,15.897960590840746
12671,Shoes,Adidas,Very Used,Men,Allegra Valerio Pederiva,43,0,6.207271565544032
7684,Shoes,Shock Absorber,Very Used,Women,Shock Evangelista Morellato,38,0,32.28479996742681
19952,Shoes,Yelete,Used,Women,Panda Massimo Seddio,44,0,9.025455874556542
21169,Shoes,BB Dakota,New,Women,BB Milena Mimun,41,0,33.211999930068856
4086,Shoes,Soho Girls,Almost New,Women,Soho Ruggero Cuzzocrea-Pisacane,42,0,3.721859897406176
13730,Shoes,Adidas,New,Women,Allegra Piersanti Santi,38,0,9.360144290624321
7728,Shoes,Hanky Panky,Very Used,Women,Stanford Sig. Nino Pertile,40,0,24.897599940374494
13799,Shoes,Briggs,Almost New,Women,Briggs Alfredo Fracci-Ginese,37,0,21.92599991336465
4210,Shoes,'47 Brand,Used,Women,47 Letizia Giannone,38,0,30.553200034238397
9439,Shoes,Rock Revival,Used,Women,Rock Sig. Carmelo Mercalli,37,0,79.9199998676777
17257,Shoes,Aegean,Used,Women,Cloud Dott. Sergius Spinola,38,0,52.239194025427395
3150,Shoes,Only Hearts,New,Women,Only Annunziata Cherubini,45,0,54.79795060518388
24756,Shoes,Champion,Used,Men,Champion Valentina Ottino,39,0,10.259999971836804
12569,Shoes,Yukon,Used,Men,Yukon Dott. Romolo Canali,37,0,41.069223235300065
13853,Shoes,CoreyLynnCalter,Almost New,Women,Corey Dott. Piermaria Simeoni,39,0,133.86230017002674
13852,Shoes,CoreyLynnCalter,New,Women,Corey Francesco Roero,44,0,115.60835014684127
23924,Shoes,Sheridyn Swim,Almost New,Women,Sheridyn Torquato Ceschi-Mazzini,44,0,11.6744549128522
16250,Shoes,Robert Graham,Very Used,Men,Robert Alessandra Armellini,42,0,72.94860003814101
9337,Shoes,Hot Topic,Almost New,Men,RUDE Eugenia Spinelli,40,0,20.676274964213373
26628,Shoes,Fruit of the Loom,Almost New,Men,Fruit Leone Volta,38,0,10.954440352941157
21359,Shoes,Club Room,Very Used,Men,Club Sig. Stefano Andreozzi,42,0,53.44756862752617
4225,Shoes,Activewear Apparel,Used,Women,Adult Fulvio Cherubini,44,0,18.6059708624582
7474,Shoes,The Brag Company,Used,Women,Panty Vittoria Fieramosca-Magrassi,45,0,14.798295342425554
7476,Shoes,Brag Company,New,Women,Panty Federico Surian,45,0,14.52575029638782
9314,Shoes,Perry Ellis,New,Men,Perry Aria Semitecolo,44,0,19.352519239963897
12588,Shoes,7 For All Mankind,Very Used,Men,7 Rocco Barcella,38,0,51.05721498258488
13674,Shoes,Ambiguous,Almost New,Men,ambiguous Loredana Udinesi,37,0,11.590000041760504
3277,Shoes,Vince Camuto,Almost New,Women,Vince Luciana Giunti,40,0,51.157500422559686
1367,Shoes,VooDoo Tactical,Used,Men,Voodoo Goffredo Pigafetta,37,0,6.31859241586037
12825,Shoes,Concitor,Very Used,Men,Concitor Rosina Garrone,38,0,13.207950392688813
21012,Shoes,Cardi International,Almost New,Men,Tuxedo Ezio Varano-Lancisi,38,0,34.178623638784515
3348,Shoes,2b by bebe,Used,Women,2B Priscilla Germano,40,0,17.57800031485781
13530,Shoes,Sansabelt,Very Used,Men,Sansabelt Maria Sandi,42,0,34.98795000426471
7904,Shoes,Warner's,Used,Women,Warner's Simone Zamengo,44,0,5.273100001830608
24588,Shoes,Bella,Very Used,Women,Bella Leone Rossini,38,0,14.632799957692626
